"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Nov 19 20:26:15 GMT 2024","Tue Nov 19 20:26:17 GMT 2024","1553","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectManually","User should be able to create a project manually",""
"broken","Tue Nov 19 20:26:17 GMT 2024","Tue Nov 19 20:26:17 GMT 2024","19","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithEmptyBuildTypeName","User should not be able to create manually a build type with empty buildType name",""
"broken","Tue Nov 19 20:26:17 GMT 2024","Tue Nov 19 20:26:17 GMT 2024","39","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectManuallyWithoutProjectName","User should not be able to create a project manually with empty project name",""
"broken","Tue Nov 19 20:26:17 GMT 2024","Tue Nov 19 20:26:17 GMT 2024","26","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithEmptyBuildTypeId","User should not be able to create manually a build type with empty buildType id",""
"broken","Tue Nov 19 20:26:17 GMT 2024","Tue Nov 19 20:26:17 GMT 2024","20","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeManually","User should be able to create a build type manually",""
"broken","Tue Nov 19 20:26:06 GMT 2024","Tue Nov 19 20:26:09 GMT 2024","2686","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"broken","Tue Nov 19 20:26:17 GMT 2024","Tue Nov 19 20:26:17 GMT 2024","25","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeAutomaticallyByProjectCreationWithUrl","User should be able to create buildType by creating project with URL",""
"broken","Tue Nov 19 20:26:17 GMT 2024","Tue Nov 19 20:26:17 GMT 2024","25","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithUrl","User should be able to create a project with URL",""
"broken","Tue Nov 19 20:26:17 GMT 2024","Tue Nov 19 20:26:17 GMT 2024","19","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithUrl","User should be able to create a build type with Url",""
"broken","Tue Nov 19 20:26:17 GMT 2024","Tue Nov 19 20:26:17 GMT 2024","27","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithEmptyUrl","User should not be able to create a project with empty URL",""
"broken","Tue Nov 19 20:26:17 GMT 2024","Tue Nov 19 20:26:17 GMT 2024","18","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithInvalidBuildTypeId","User should not be able to create manually a build type with invalid buildType id",""
"broken","Tue Nov 19 20:26:17 GMT 2024","Tue Nov 19 20:26:17 GMT 2024","19","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithEmptyUrl","User should not be able to create a build type with empty Url",""
"broken","Tue Nov 19 20:26:17 GMT 2024","Tue Nov 19 20:26:17 GMT 2024","21","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create a project with empty name",""
