"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 28 09:14:54 GMT 2024","Thu Nov 28 09:15:42 GMT 2024","48536","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectManually","User should be able to create a project manually",""
"failed","Thu Nov 28 09:16:45 GMT 2024","Thu Nov 28 09:16:53 GMT 2024","8075","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeManually","User should be able to create a build type manually",""
"passed","Thu Nov 28 09:13:52 GMT 2024","Thu Nov 28 09:14:41 GMT 2024","49355","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Nov 28 09:16:34 GMT 2024","Thu Nov 28 09:16:45 GMT 2024","11405","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeAutomaticallyByProjectCreationWithUrl","User should be able to create buildType by creating project with URL",""
"passed","Thu Nov 28 09:16:23 GMT 2024","Thu Nov 28 09:16:33 GMT 2024","10084","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create a project with empty name",""
"passed","Thu Nov 28 09:17:24 GMT 2024","Thu Nov 28 09:17:35 GMT 2024","10841","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithUrl","User should be able to create a build type with Url",""
"passed","Thu Nov 28 09:15:55 GMT 2024","Thu Nov 28 09:16:01 GMT 2024","6798","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithEmptyUrl","User should not be able to create a project with empty URL",""
"passed","Thu Nov 28 09:17:16 GMT 2024","Thu Nov 28 09:17:24 GMT 2024","7920","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithInvalidBuildTypeId","User should not be able to create manually a build type with invalid buildType id",""
"passed","Thu Nov 28 09:16:02 GMT 2024","Thu Nov 28 09:16:23 GMT 2024","21333","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithUrl","User should be able to create a project with URL",""
"failed","Thu Nov 28 09:16:54 GMT 2024","Thu Nov 28 09:17:01 GMT 2024","7884","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithEmptyBuildTypeId","User should not be able to create manually a build type with empty buildType id",""
"passed","Thu Nov 28 09:17:02 GMT 2024","Thu Nov 28 09:17:10 GMT 2024","8506","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithEmptyBuildTypeName","User should not be able to create manually a build type with empty buildType name",""
"passed","Thu Nov 28 09:17:10 GMT 2024","Thu Nov 28 09:17:16 GMT 2024","5592","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithEmptyUrl","User should not be able to create a build type with empty Url",""
"passed","Thu Nov 28 09:15:43 GMT 2024","Thu Nov 28 09:15:54 GMT 2024","11598","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectManuallyWithoutProjectName","User should not be able to create a project manually with empty project name",""
