"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 29 00:22:49 GMT 2024","Fri Nov 29 00:22:57 GMT 2024","8717","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create a project with empty name",""
"passed","Fri Nov 29 00:24:29 GMT 2024","Fri Nov 29 00:24:50 GMT 2024","21459","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithEmptyUrl","User should not be able to create a build type with empty Url",""
"passed","Fri Nov 29 00:22:58 GMT 2024","Fri Nov 29 00:23:05 GMT 2024","7634","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeAutomaticallyByProjectCreationWithUrl","User should be able to create buildType by creating project with URL",""
"passed","Fri Nov 29 00:20:59 GMT 2024","Fri Nov 29 00:22:03 GMT 2024","63882","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectManually","User should be able to create a project manually",""
"passed","Fri Nov 29 00:22:35 GMT 2024","Fri Nov 29 00:22:49 GMT 2024","13522","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithUrl","User should be able to create a project with URL",""
"passed","Fri Nov 29 00:19:56 GMT 2024","Fri Nov 29 00:20:47 GMT 2024","50320","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"failed","Fri Nov 29 00:23:54 GMT 2024","Fri Nov 29 00:24:28 GMT 2024","33914","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithEmptyBuildTypeName","User should not be able to create manually a build type with empty buildType name",""
"passed","Fri Nov 29 00:22:03 GMT 2024","Fri Nov 29 00:22:28 GMT 2024","24718","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectManuallyWithoutProjectName","User should not be able to create a project manually with empty project name",""
"passed","Fri Nov 29 00:22:29 GMT 2024","Fri Nov 29 00:22:35 GMT 2024","6350","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithEmptyUrl","User should not be able to create a project with empty URL",""
"passed","Fri Nov 29 00:25:12 GMT 2024","Fri Nov 29 00:25:37 GMT 2024","24647","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithUrl","User should be able to create a build type with Url",""
"passed","Fri Nov 29 00:23:06 GMT 2024","Fri Nov 29 00:23:29 GMT 2024","23761","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeManually","User should be able to create a build type manually",""
"passed","Fri Nov 29 00:24:50 GMT 2024","Fri Nov 29 00:25:12 GMT 2024","21630","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithInvalidBuildTypeId","User should not be able to create manually a build type with invalid buildType id",""
"passed","Fri Nov 29 00:23:29 GMT 2024","Fri Nov 29 00:23:54 GMT 2024","24732","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithEmptyBuildTypeId","User should not be able to create manually a build type with empty buildType id",""
